winery;wine;year;rating;num_reviews;country;region;price;type;body;acidity
Dominio de Pingus;Pingus;2004;04. Jul;285;Espana;Ribera del Duero;1500;Ribera Del Duero Red;5;3
Dominio de Pingus;Pingus;2006;04. Jul;280;Espana;Ribera del Duero;1190;Ribera Del Duero Red;5;3
Bodegas El Nido;El Nido;2017;04. Jul;268;Espana;Jumilla;154.85;Red;4;3
Teso La Monja;Alabaster;2016;04. Jul;264;Espana;Toro;135;Toro Red;5;3
Quinta de la Quietud;La Mula de la Quietud;2015;04. Jul;256;Espana;Toro;63.75;Toro Red;5;3
Vega Sicilia;Unico;1985;04. Jul;254;Espana;Ribera del Duero;827.94;Ribera Del Duero Red;5;3
Bodegas Mauro;Terreus Paraje de Cueva Baja;2017;04. Jul;251;Espana;Castilla y Leon;66.07;Tempranillo;4;2
Bodega Contador (Benjamin Romeo);Contador Rioja;2012;04. Jul;243;Espana;Rioja;213.9;Rioja Red;4;3
Remirez de Ganuza;Maria Remirez de Ganuza;2006;04. Jul;240;Espana;Rioja;234.9;Rioja Red;4;3
Vega Sicilia;Unico;1968;04. Jul;225;Espana;Ribera del Duero;2087.25;Ribera Del Duero Red;5;3
Vinedos de Paganos;La Nieta;2018;04. Jul;220;Espana;Rioja;89.9;Rioja Red;4;3
Vega Sicilia;Unico;1964;04. Jul;214;Espana;Ribera del Duero;1384.54;Ribera Del Duero Red;5;3
Vega Sicilia;Unico;1982;04. Jul;205;Espana;Ribera del Duero;820.98;Ribera Del Duero Red;5;3
Dominio de Pingus;Pingus;2015;04. Jul;203;Espana;Ribera del Duero;1250;Ribera Del Duero Red;5;3
Vega Sicilia;Unico Reserva Especial Edicion;1995;04. Jul;196;Espana;Ribera del Duero;1500;Ribera Del Duero Red;5;3
Dominio de Pingus;Pingus;1999;04. Jul;184;Espana;Ribera del Duero;1715.18;Ribera Del Duero Red;5;3
Vega Sicilia;Unico;1974;04. Jul;173;Espana;Ribera del Duero;932.3;Ribera Del Duero Red;5;3
Alvaro Palacios;L'Ermita Velles Vinyes Priorat;1998;04. Jul;171;Espana;Priorato;1372.14;Priorat Red;4;3
Bodegas San Roman;Cartago Paraje de Pozo;2015;04. Jul;137;Espana;Toro;78.9;Toro Red;5;3
Vega Sicilia;Unico Reserva Especial Edicion;2012;04. Jul;136;Espana;Ribera del Duero;660.96;Ribera Del Duero Red;5;3
Pago de Los Capellanes;Parcela El Picon Tinto;2009;04. Jul;134;Espana;Ribera del Duero;154;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;2017;04. Jul;133;Espana;Ribera del Duero;134.89;Ribera Del Duero Red;5;3
Alvaro Palacios;L'Ermita Velles Vinyes Priorat;2000;04. Jul;132;Espana;Priorato;1422.96;Priorat Red;4;3
Bodega Numanthia;Termanthia;2005;04. Jul;131;Espana;Toro;207.11;Toro Red;5;3
Vega Sicilia;Unico Reserva Especial Edicion;2011;04. Jul;131;Espana;Ribera del Duero;340.49;Ribera Del Duero Red;5;3
Emilio Moro;Clon De La Familia;2010;04. Jul;127;Espana;Ribera del Duero;317.63;Ribera Del Duero Red;5;3
Alto Moncayo;Aquilon Garnacha;2011;04. Jul;123;Espana;Campo de Borja;108.9;Grenache;5;3
Vega Sicilia;Unico;1983;04. Jul;118;Espana;Ribera del Duero;700;Ribera Del Duero Red;5;3
Toro Albala;Don PX Convento Seleccion;1955;04. Jul;117;Espana;Montilla-Moriles;185;Pedro Ximenez;5;1
Vega Sicilia;Unico;1980;04. Jul;116;Espana;Ribera del Duero;911.43;Ribera Del Duero Red;5;3
Bodega Contador (Benjamin Romeo);Contador Rioja;2005;04. Jul;112;Espana;Rioja;1150;Rioja Red;4;3
Vega Sicilia;Unico;1972;04. Jul;110;Espana;Ribera del Duero;698.95;Ribera Del Duero Red;5;3
Bodega Numanthia;Termanthia;2004;04. Jul;108;Espana;Toro;2814.16;Toro Red;5;3
Teso La Monja;Tinto;2010;04. Jul;102;Espana;Toro;1325;Toro Red;5;3
Alvaro Palacios;Quinon de Valmira;2015;04. Jul;102;Espana;Rioja;527.26;Rioja Red;4;3
Vega Sicilia;Unico Reserva Especial Edicion;1987;04. Jul;100;Espana;Ribera del Duero;1071.45;Ribera Del Duero Red;5;3
Mas Doix;1902 Centenary Carignan Priorat;2015;04. Jul;94;Espana;Priorato;299;Priorat Red;4;3
Finca Moncloa;Tintilla de Rota;2016;04. Jul;92;Espana;Cadiz;43.13;NA;NA;NA
Vega Sicilia;Unico;1953;04. Jul;89;Espana;Ribera del Duero;1207.6;Ribera Del Duero Red;5;3
Bodegas Roda;Cirsion Rioja;2000;04. Jul;87;Espana;Rioja;175;Rioja Red;4;3
Alvaro Palacios;L'Ermita Velles Vinyes Priorat;2015;04. Jul;82;Espana;Priorato;1252.35;Priorat Red;4;3
Bodegas El Nido;El Nido;2019;04. Jul;80;Espana;Jumilla;145.9;Red;4;3
Mas Doix;1902 Centenary Carignan Priorat;2013;04. Jul;74;Espana;Priorato;447.95;Priorat Red;4;3
Vega Sicilia;Unico Reserva Especial Edicion;2006;04. Jul;72;Espana;Ribera del Duero;813.96;Ribera Del Duero Red;5;3
Alvaro Palacios;L'Ermita Velles Vinyes Priorat;2005;04. Jul;67;Espana;Priorato;1410.26;Priorat Red;4;3
Martinet;Cami Pesseroles;2006;04. Jul;65;Espana;Priorato;182.9;Priorat Red;4;3
Recaredo;Turo d'en Mota;2007;04. Jul;64;Espana;Cava;99;Cava;2;3
Vega Sicilia;Unico Reserva Especial Edicion;1986;04. Jul;63;Espana;Ribera del Duero;1113.2;Ribera Del Duero Red;5;3
Clos Erasmus;Priorat;2007;04. Jul;60;Espana;Priorato;654.31;Priorat Red;4;3
Pago de Los Capellanes;Parcela El Picon Tinto;2016;04. Jul;59;Espana;Ribera del Duero;134.26;Ribera Del Duero Red;5;3
Barbadillo;Reliquia Palo Cortado Sherry;N.V.;04. Jul;58;Espana;Jerez Palo Cortado;380;Sherry;4;3
La Rioja Alta;Gran Reserva 890;1982;04. Jul;57;Espana;Rioja;292.09;Rioja Red;4;3
Gonzalez-Byass;Anada Palo Cortado 1987;1987;04. Jul;53;Espana;Jerez Palo Cortado;400.85;Sherry;4;3
Clos Erasmus;Daphne Glorian Red;2007;04. Jul;51;Espana;Priorato;202.01;Red;4;3
Toro Albala;Don PX Pedro Ximenez;1955;04. Jul;50;Espana;Montilla-Moriles;250;Pedro Ximenez;5;1
Vinedos de Paganos;La Nieta;2019;04. Jul;49;Espana;Rioja;88.9;Rioja Red;4;3
Bodegas Amaren;El Regollar;2016;04. Jul;49;Espana;Rioja;77.9;Rioja Red;4;3
Toro Albala;Don PX Convento Seleccion;1958;04. Jul;47;Espana;Montilla-Moriles;191.61;Pedro Ximenez;5;1
Teso La Monja;Alabaster;2018;04. Jul;45;Espana;Toro;123.89;Toro Red;5;3
Alvear;Abuelo Diego Palo Cortado;N.V.;04. Jul;42;Espana;Montilla-Moriles;114.28;Pedro Ximenez;5;1
Equipo Navazos;La Bota 78 de Oloroso;N.V.;04. Jul;41;Espana;Manzanilla;95.57;Sherry;4;3
Morca;Touran;2018;04. Jul;41;Espana;Campo de Borja;93.95;Grenache;5;3
Territorio Luthier;Luthier Gran Reserva;2012;04. Jul;40;Espana;Ribera del Duero;248;Ribera Del Duero Red;5;3
Artadi;Vina El Pison;1995;04. Jul;39;Espana;Vino de Espana;397;Tempranillo;4;2
Rafael Palacios;Sorte O Soro Val do Bibei;2019;04. Jul;37;Espana;Valdeorras;194.86;NA;NA;NA
Recaredo;Reserva Particular de Recaredo Brut Nature;2011;04. Jul;35;Espana;Cava;65.05;Cava;2;3
Bodegas Mauro;Terreus Paraje de Cueva Baja;2019;04. Jul;33;Espana;Castilla y Leon;86.9;Tempranillo;4;2
Vina Sastre;Pesus Ribera del Duero;2004;04. Jul;32;Espana;Ribera del Duero;472.5;Ribera Del Duero Red;5;3
Terra Remota;Usted;2010;04. Jul;31;Espana;Emporda;379;Red;4;3
Dehesa de Los Canonigos;Gran Reserva;2001;04. Jul;31;Espana;Ribera del Duero;185.15;Ribera Del Duero Red;5;3
Vina Sastre;Regina Vides Ribera del Duero;1998;04. Jul;30;Espana;Ribera del Duero;94.2;Ribera Del Duero Red;5;3
Miguel Merino;La Loma;2018;04. Jul;29;Espana;Rioja Alta;46;Rioja Red;4;3
Alvaro Palacios;L'Ermita Velles Vinyes Priorat;2016;04. Jul;28;Espana;Priorato;919.6;Priorat Red;4;3
Gutierrez de la Vega;Recondita Armonia Monastrell Dulce;1987;04. Jul;27;Espana;Alicante;81.9;NA;NA;NA
Marques de Murrieta;Castillo Ygay Gran Reserva Especial Tinto;1942;04. Jul;27;Espana;Rioja;680;Rioja Red;4;3
Vega Sicilia;Valbuena 5o;2011;04. Jun;6803;Espana;Ribera del Duero;218;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;2012;04. Jun;5938;Espana;Ribera del Duero;177;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;2008;04. Jun;5545;Espana;Ribera del Duero;187.3;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;2007;04. Jun;5116;Espana;Ribera del Duero;195.59;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;2013;04. Jun;4747;Espana;Ribera del Duero;135;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;2009;04. Jun;4685;Espana;Ribera del Duero;225.2;Ribera Del Duero Red;5;3
Alion;Ribera del Duero;2016;04. Jun;4516;Espana;Ribera del Duero;79.8;Ribera Del Duero Red;5;3
Aalto;PS (Pagos Seleccionados) Ribera del Duero;2017;04. Jun;3383;Espana;Ribera del Duero;116.187.943.627.787;Ribera Del Duero Red;5;3
Aalto;PS (Pagos Seleccionados) Ribera del Duero;2018;04. Jun;3239;Espana;Ribera del Duero;89.3;Ribera Del Duero Red;5;3
Marques de Murrieta;Castillo Ygay Gran Reserva Especial Tinto;2010;04. Jun;2416;Espana;Rioja;438.9;Rioja Red;4;3
Alion;Ribera del Duero;2017;04. Jun;2208;Espana;Ribera del Duero;79.9;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;2004;04. Jun;1608;Espana;Ribera del Duero;249;Ribera Del Duero Red;5;3
Dominio de Pingus;Flor de Pingus;2018;04. Jun;1363;Espana;Ribera del Duero;129.95;Ribera Del Duero Red;5;3
Aalto;PS (Pagos Seleccionados) Ribera del Duero;2019;04. Jun;1108;Espana;Ribera del Duero;76.95;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;2000;04. Jun;1015;Espana;Ribera del Duero;252;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;2002;04. Jun;936;Espana;Ribera del Duero;232;Ribera Del Duero Red;5;3
Bodega Numanthia;Termanthia;2012;04. Jun;840;Espana;Toro;214;Toro Red;5;3
Bodega Numanthia;Termanthia;2011;04. Jun;790;Espana;Toro;205;Toro Red;5;3
Carmelo Rodero;Pago De Valtarrena;2015;04. Jun;700;Espana;Ribera del Duero;49.95;Ribera Del Duero Red;5;3
Emilio Moro;Malleolus de Sanchomartin;2011;04. Jun;693;Espana;Ribera del Duero;125;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;1999;04. Jun;595;Espana;Ribera del Duero;276.8;Ribera Del Duero Red;5;3
Emilio Moro;Malleolus de Valderramiro;2015;04. Jun;516;Espana;Ribera del Duero;75;Ribera Del Duero Red;5;3
Dominio de Pingus;Pingus;2010;04. Jun;410;Espana;Ribera del Duero;1359.75;Ribera Del Duero Red;5;3
Pago de Carraovejas;Cuesta de Las Liebres;2010;04. Jun;405;Espana;Ribera del Duero;81.5;Ribera Del Duero Red;5;3
Dominio de Pingus;Pingus;2012;04. Jun;400;Espana;Ribera del Duero;890;Ribera Del Duero Red;5;3
Dominio del Bendito;El Titan del Bendito;2015;04. Jun;388;Espana;Toro;43.5;Toro Red;5;3
Emilio Moro;Malleolus de Sanchomartin;2015;04. Jun;369;Espana;Ribera del Duero;99;Ribera Del Duero Red;5;3
Dominio de Pingus;Pingus;2013;04. Jun;323;Espana;Ribera del Duero;1198.72;Ribera Del Duero Red;5;3
Bodegas Mauro;Terreus Paraje de Cueva Baja;2015;04. Jun;313;Espana;Castilla y Leon;94.95;Tempranillo;4;2
Bodegas Mauro;Terreus Paraje de Cueva Baja;2016;04. Jun;304;Espana;Castilla y Leon;89;Tempranillo;4;2
Dominio de Pingus;Pingus;2005;04. Jun;293;Espana;Ribera del Duero;1785.96;Ribera Del Duero Red;5;3
Vinedos de Paganos;La Nieta;2017;04. Jun;286;Espana;Rioja;108.21;Rioja Red;4;3
Artadi;Vina El Pison;2006;04. Jun;274;Espana;Vino de Espana;391.5;Tempranillo;4;2
Dominio de Pingus;Pingus;1998;04. Jun;244;Espana;Ribera del Duero;1350;Ribera Del Duero Red;5;3
Bodegas Roda;Cirsion Rioja;2007;04. Jun;242;Espana;Rioja;145;Rioja Red;4;3
Bodegas Roda;Cirsion Rioja;2012;04. Jun;231;Espana;Rioja;173.38;Rioja Red;4;3
Bodega Contador (Benjamin Romeo);Contador Rioja;2011;04. Jun;225;Espana;Rioja;220;Rioja Red;4;3
Marques de Murrieta;Dalmau Rioja;2017;04. Jun;222;Espana;Rioja;85.7;Rioja Red;4;3
Vega Sicilia;Unico;1965;04. Jun;218;Espana;Ribera del Duero;2884.04;Ribera Del Duero Red;5;3
Sierra Cantabria;Finca el Bosque;2015;04. Jun;214;Espana;Rioja;79.9;Rioja Red;4;3
Vina Sastre;Pago de Santa Cruz;2018;04. Jun;211;Espana;Ribera del Duero;68.7;Ribera Del Duero Red;5;3
Dominio de Pingus;Pingus;2003;04. Jun;205;Espana;Ribera del Duero;1638.95;Ribera Del Duero Red;5;3
Mas d'en Gil;Clos Fonta Priorat;2004;04. Jun;202;Espana;Priorato;150;Priorat Red;4;3
Carmelo Rodero;Pago De Valtarrena;2016;04. Jun;200;Espana;Ribera del Duero;48.95;Ribera Del Duero Red;5;3
Pago de Los Capellanes;Parcela El Picon Tinto;2014;04. Jun;197;Espana;Ribera del Duero;109.41;Ribera Del Duero Red;5;3
Emilio Moro;Malleolus de Sanchomartin;2014;04. Jun;186;Espana;Ribera del Duero;119;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;1992;04. Jun;176;Espana;Ribera del Duero;195;Ribera Del Duero Red;5;3
Dominio de Pingus;Pingus;2014;04. Jun;172;Espana;Ribera del Duero;1595;Ribera Del Duero Red;5;3
Artadi;Vina El Pison;2010;04. Jun;169;Espana;Vino de Espana;519.55;Tempranillo;4;2
Pago de Los Capellanes;Parcela El Picon Tinto;2012;04. Jun;165;Espana;Ribera del Duero;89;Ribera Del Duero Red;5;3
Artadi;Vina El Pison;2011;04. Jun;165;Espana;Vino de Espana;511.9;Tempranillo;4;2
Alvaro Palacios;L'Ermita Velles Vinyes Priorat;1999;04. Jun;164;Espana;Priorato;980;Priorat Red;4;3
Casa Castillo;Cuvee N Vinas Viejas;2015;04. Jun;160;Espana;Jumilla;73;Red;4;3
Artadi;Vina El Pison;2012;04. Jun;159;Espana;Vino de Espana;280;Tempranillo;4;2
Vega Sicilia;Unico;1973;04. Jun;157;Espana;Ribera del Duero;932.3;Ribera Del Duero Red;5;3
Bodega Contador (Benjamin Romeo);Contador Rioja;2014;04. Jun;157;Espana;Rioja;251.99;Rioja Red;4;3
Bodegas San Roman;Cartago Paraje de Pozo;2014;04. Jun;153;Espana;Toro;61.69;Toro Red;5;3
Alvaro Palacios;L'Ermita Velles Vinyes Priorat;1996;04. Jun;150;Espana;Priorato;1372.14;Priorat Red;4;3
Bodega Numanthia;Termanthia;2014;04. Jun;147;Espana;Toro;210.5;Toro Red;5;3
Vega Sicilia;Valbuena 5o;1985;04. Jun;146;Espana;Ribera del Duero;285;Ribera Del Duero Red;5;3
Matarromera;Ribera del Duero Prestigio Pago de las Solanas;2001;04. Jun;145;Espana;Ribera del Duero;245.75;Ribera Del Duero Red;5;3
Vega Sicilia;Valbuena 5o;1989;04. Jun;143;Espana;Ribera del Duero;228.57;Ribera Del Duero Red;5;3
Bodega Contador (Benjamin Romeo);Contador Rioja;2015;04. Jun;143;Espana;Rioja;319.9;Rioja Red;4;3
Artadi;Vina El Pison;2005;04. Jun;142;Espana;Vino de Espana;325;Tempranillo;4;2
Nin-Ortiz;Nit de Nin Mas d'en Cacador;2011;04. Jun;139;Espana;Priorato;345;Priorat Red;4;3
Bodegas Mauro;VS;2018;04. Jun;136;Espana;Castilla y Leon;58.9;Tempranillo;4;2
Remirez de Ganuza;Maria Remirez de Ganuza;2005;04. Jun;136;Espana;Rioja;159;Rioja Red;4;3
Vinas del Vero;Blecua Somontano;2013;04. Jun;135;Espana;Somontano;69.9;Red;4;3
Vega Sicilia;Unico Reserva Especial Edicion;1989;04. Jun;133;Espana;Ribera del Duero;895.4;Ribera Del Duero Red;5;3
Teso La Monja;Alabaster;2017;04. Jun;131;Espana;Toro;147.85;Toro Red;5;3
Bodegas Mauro;Terreus Paraje de Cueva Baja;2018;04. Jun;128;Espana;Castilla y Leon;88.05;Tempranillo;4;2
Alvaro Palacios;L'Ermita Velles Vinyes Priorat;1997;04. Jun;127;Espana;Priorato;1080;Priorat Red;4;3
Marques de Riscal;Frank Gehry Selection;2001;04. Jun;124;Espana;Rioja;301;Tempranillo;4;2
Artadi;Vina El Pison;2014;04. Jun;124;Espana;Vino de Espana;275;Tempranillo;4;2
Vega Sicilia;Unico;1967;04. Jun;123;Espana;Ribera del Duero;1106.24;Ribera Del Duero Red;5;3
Arzuaga;Amaya Arzuaga (Coleccion);2016;04. Jun;123;Espana;Ribera del Duero;64.9;Ribera Del Duero Red;5;3
Dominio de Pingus;Pingus;2000;04. Jun;122;Espana;Ribera del Duero;1503;Ribera Del Duero Red;5;3
